,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
65,03-Apr-2012,5353.2,5378.75,5344.45,5358.5,152496489,5256.86
66,04-Apr-2012,5328.65,5338.4,5305.3,5322.9,122106162,4084.37
67,09-Apr-2012,5282.5,5287.9,5228.0,5234.4,111914936,3680.04
68,10-Apr-2012,5254.1,5255.8,5211.85,5243.6,156106794,4886.48
69,11-Apr-2012,5209.45,5263.65,5190.8,5226.85,167013527,5585.7
70,12-Apr-2012,5246.75,5290.6,5246.75,5276.85,152684788,5457.29
71,13-Apr-2012,5255.7,5306.75,5185.4,5207.45,164225858,7989.27
72,16-Apr-2012,5190.6,5233.5,5183.5,5226.2,119730347,5165.7
73,17-Apr-2012,5266.6,5298.2,5208.35,5289.7,178895417,7416.66
74,18-Apr-2012,5320.7,5342.0,5293.45,5300.0,152743439,5665.77
75,19-Apr-2012,5320.6,5342.45,5291.3,5332.4,133549895,5313.33
76,20-Apr-2012,5313.95,5336.15,5245.45,5290.85,135252751,5086.54
77,23-Apr-2012,5277.4,5310.55,5187.15,5200.6,138042341,5065.27
78,24-Apr-2012,5215.9,5232.35,5180.35,5222.65,155674654,7362.66
79,25-Apr-2012,5222.2,5236.1,5160.65,5202.0,142910739,5968.34
80,26-Apr-2012,5214.75,5215.6,5179.05,5189.0,185899437,6408.49
81,27-Apr-2012,5189.0,5223.05,5154.3,5190.6,128759445,5734.59
82,28-Apr-2012,5209.6,5216.4,5196.35,5209.0,6555703,297.89
83,30-Apr-2012,5201.45,5262.15,5201.45,5248.15,108138550,4610.4
84,02-May-2012,5254.3,5279.6,5226.45,5239.15,119333288,4815.08
85,03-May-2012,5211.2,5217.3,5180.65,5188.4,118573998,5488.9
86,04-May-2012,5166.65,5177.2,5070.6,5086.85,153304687,6507.5
87,07-May-2012,5017.8,5124.75,4988.0,5114.15,168271798,6787.08
88,08-May-2012,5114.7,5119.95,4983.6,4999.95,164262546,6233.26
89,09-May-2012,4967.9,5016.25,4956.45,4974.8,180441209,6558.78
90,10-May-2012,4984.15,5039.3,4950.3,4965.7,141031231,5430.14
91,11-May-2012,4938.85,4976.25,4906.15,4928.9,138526070,5061.57
92,14-May-2012,4934.35,4957.2,4874.5,4907.8,126951751,5291.93
93,15-May-2012,4869.85,4955.2,4868.55,4942.8,142119571,5491.24
94,16-May-2012,4875.3,4882.25,4837.05,4858.25,165048505,6316.66
95,17-May-2012,4878.6,4922.25,4850.2,4870.2,155654031,5745.51
96,18-May-2012,4796.4,4908.5,4788.95,4891.45,154508649,6447.08
97,21-May-2012,4888.5,4937.5,4888.5,4906.05,116506971,4527.67
